StID,Object,Parent
1,ASTM,
2,Fittings,1
3,D2466-13 Sch 40 PVC Pipe and Fittings,2
4,D2683-14 Socket Fittings for PE Pipe,2
5,D2729-11 PVC Sewer Pipe and Fittings,2
6,F2206-11 Fab Fittings,2
7,F2159-14 Plastic Insert Fittings for PEX and PERT,2
8,F1865-09 Cold Expansion Fittings for PEX,2
9,F1948-12 Metallic Fittings for Gas Pipe,2
10,F2390-12 PVC-Recycle DWV Pipe and Fittings,2
11,F1866-13 Sch 40 PVC DWV Fabricated Fittings,2
12,F439-13 Sch 80 CPVC Fittings,2
13,F2135-01 Molded DWV Fittings,2
14,F2767-12 EF Fittings for PA-12 Pipe and Tube,2
15,F1055-13 EF Fittings for PE and PEX,2
16,F1336-07 Gasketed PVC Fittings,2
17,D3350-14 Standard Specification for Polyethylene Plastics Pipe and Fittings Materials,2
19,Sch,1
20,D2466-13 Sch 40 PVC Pipe and Fittings,19
21,D2661-11 Sch 40 ABS Pipe,19
22,F480-14 Sch 40 and 80 Well Casings,19
23,F1866-13 Sch 40 PVC DWV Fabricated Fittings,19
24,F439-13 Sch 80 CPVC Fittings,19
25,F437-09 Sch 80 Threaded CPVC Ftgs,19
26,F628-12 Cellular Core Sch 40 ABS for DWV,19
27,F438-09 Sch 40 CPVC Socket Ftgs,19
28,D2464-13 Sch 80 PVC Threaded Ftgs,19
29,F441-13 Sch 40 and 80 CPVC Pipe,19
30,F2261-06 Sch 40 and 80 Socket Ftgs for PVC,19
32,Ftgs,1
33,F1961-09 Metal Cold Flare Compression Ftgs for PEX,32
34,F2145-13 PA11 and PA12 Mechanical Ftgs,32
35,F2600-09 PA11 EF Ftgs,32
36,F1924-12 Plastic Mech Ftgs for PE Gas Pipe,32
37,F1545-97 Lined Ferrous Ftgs,32
38,D2513-14 PE Gas Pipe and Ftgs,32
39,F1970-12 Special Valves and Ftgs for PVC and CPVC,32
40,F437-09 Sch 80 Threaded CPVC Ftgs,32
41,F610-10 Heat Reversion Testing for PVC Ftgs,32
42,D2609-02 Plastic Insert Ftgs for PE Pipe,32
43,F2620-13 Heat Fusion of PE  Pipe and Ftgs,32
44,D3261-12 Butt Heat Fusion Ftgs for PE,32
45,F438-09 Sch 40 CPVC Socket Ftgs,32
46,F1974-09 Insert Ftgs for PE-AL-PE,32
47,F2080-12 Cold Exp Ftgs for PEX,32
48,F2897-14 Tracking and Traceability of PE Gas Pipe and Ftgs,32
49,F2854-10 Push Fit Ftgs for PEX,32
50,F405-13 Corrug PE Pipe and Ftgs,32
51,F409-12 Replaceable Thermoplastic Pipe and Ftgs,32
52,D2464-13 Sch 80 PVC Threaded Ftgs,32
53,F2434-14 Metal Insert Ftgs for PEX and PEX-AL-PEX,32
54,F1960-14 Cold Exp Ftgs for PEX,32
55,F2261-06 Sch 40 and 80 Socket Ftgs for PVC,32
56,F1986-01 Compression Ftgs for Multilayer Pipe,32
58,Testing,1
59,F2231-02 Charpy Impact Testing,58
60,F2023-13 ORP Testing of PEX,58
61,F2164-13 Hydro Field Leak Testing,58
62,F2786-10 Pneumatic Field Leak Testing,58
63,D1598-02 Hydrostatic Testing of Plastic Pipe,58
64,F1802-04 Testing Excess Flow Valves,58
65,F2018-00 Plane Strain Tensile Testing,58
66,F610-10 Heat Reversion Testing for PVC Ftgs,58
67,F2928-13 Testing PE Butt Fusions,58
68,F1365-91 Infiltration Testing Elastomeric Joints,58
69,F948-94 Testing under Internal Flow,58
70,F2487-13 Infiltration-Exfiltration Testing,58
71,F1057-10 Heat Reversion Testing of PVC,58
73,Gas,1
74,F2207-06 CIP Rehab of Metallic Gas Pipe,73
75,F2785-12 PA 12 Gas Pipe,73
76,F1563-01 PE Gas Pipe Squeeze Off Tools,73
77,F1948-12 Metallic Fittings for Gas Pipe,73
78,F1924-12 Plastic Mech Ftgs for PE Gas Pipe,73
79,F1804-08 Tensile Load for Pulled In Gas Pipe,73
80,D2513-14 PE Gas Pipe and Ftgs,73
81,F1025-94 Full Circle Band Clamps for PE Gas Pipe,73
82,F2817-13 PVC Gas Pipe,73
83,F2905-13 Black PEX for Oil and Gas,73
84,F2830-11 PE Gas Pipe with Peelable PP Layer,73
85,F2818-10 PEX Gas Pipe,73
86,F1041-02 Squeeze off of PE Gas Pipe,73
87,F2897-14 Tracking and Traceability of PE Gas Pipe and Ftgs,73
88,F689-97 Temperatures in PE Gas Risers,73
89,F2896-11 PE Composite Pipe for Oil and Gas,73
91,Pipe,1
92,F913-02 Elastomeric Seals for Plastic Pipe,91
93,F2433-05 Determining Pipe Wall Stiffness,91
94,D2321-14 Underground Installation of Thermoplastic Gravity Pipe,91
95,F645-13 Design and Installation of Water Pressure Pipe,91
96,D2466-13 Sch 40 PVC Pipe and Fittings,91
97,D2774-12 Underground Installation of Thermoplastic Pressure Pipe,91
98,D2683-14 Socket Fittings for PE Pipe,91
99,F2207-06 CIP Rehab of Metallic Gas Pipe,91
100,D2729-11 PVC Sewer Pipe and Fittings,91
101,F1483-12 PVCO Pipe,91
102,F2785-12 PA 12 Gas Pipe,91
103,F1563-01 PE Gas Pipe Squeeze Off Tools,91
104,D2661-11 Sch 40 ABS Pipe,91
105,F2510-07 Concrete Manhole Connections for Corrugated PE Pipe,91
106,F2263-14 Chlorine Resistance Test for PE Pipe,91
107,F1948-12 Metallic Fittings for Gas Pipe,91
108,F2619-13 PE Line Pipe,91
109,F810-12 Smoothwall PE Drainage Pipe,91
110,F2855-12 CPVC-AL-CPVC Composite Pipe,91
111,F2768-09 ACME Thread Joints for Plastic Pipe,91
112,F2736-13 Corrug PP Pipe,91
113,F1732-12 PVC Sewer Pipe with Recycle,91
114,F1668-08 Construction Procedures for Buried Plastic Pipe,91
115,F2390-12 PVC-Recycle DWV Pipe and Fittings,91
116,D3122-95 Solvent Cement for SR Pipe,91
117,F2788-13 Metric and Inch PEX Pipe,91
118,F1924-12 Plastic Mech Ftgs for PE Gas Pipe,91
119,D2241-09 PVC Pressure Pipe,91
120,F1804-08 Tensile Load for Pulled In Gas Pipe,91
121,F1803-06 Closed Profile PVC Pipe,91
122,D2513-14 PE Gas Pipe and Ftgs,91
123,F2763-11 Triple Wall PE Pipe,91
124,F2562-08 Steel Reinforced Thermoplastic Pipe,91
125,F1025-94 Full Circle Band Clamps for PE Gas Pipe,91
126,F1733-13 Heat Fusion of PA Pipe,91
127,F1498-08 Tapered Threads for Plastic Pipe,91
128,F2817-13 PVC Gas Pipe,91
129,F2767-12 EF Fittings for PA-12 Pipe and Tube,91
130,D1598-02 Hydrostatic Testing of Plastic Pipe,91
131,F1674-11 Joinit Restraints for  PVC Pipe,91
132,F1290-98 EF Joining PO Pipe,91
133,F1488-09 Coextruded Composite Pipe,91
134,D2837-13 Obtaining an HDB or PDB for Plastic Pipe,91
135,F2986-12 Corrug PE Pipe for Mine Leach Fields,91
136,D2609-02 Plastic Insert Ftgs for PE Pipe,91
137,F2620-13 Heat Fusion of PE  Pipe and Ftgs,91
138,D2852-95 Styrene Rubber Pipe,91
139,F2806-10 Metric ABS Pipe,91
140,F585-13 Slipliining with Pe Pipe,91
141,F2306-13 Annular Corrug PE Profile Pipe,91
142,F794-03 ID Controlled PVC Sewer Pipe,91
143,F2686-14 Glass Fiber Reinforced Thermoplastic Pipe,91
144,F449-02 Installation of Agricultural Drain Pipe,91
145,"D1785-12 Shc 40, 80 and 120 PVC Pipe",91
146,D2680-01 ABS-PVC Composite Pipe,91
147,F2987-12 Corrug PE Pipe for Mine Heap Leaching,91
148,F1412-09 Polyolefin Pipe for Corrosive DWV,91
149,F1499-12 Composite DWV Pipe,91
150,F2830-11 PE Gas Pipe with Peelable PP Layer,91
151,D2749-13 Symbols for Plastic Pipe Dimensions,91
152,F2762-11 Annular Corrug PE Pipe for Sanitary Sewer,91
153,F679-13 LD PVC Sewer Pipe,91
154,F2818-10 PEX Gas Pipe,91
155,F1041-02 Squeeze off of PE Gas Pipe,91
156,F667-12 3-24 Inch Corrugated PE Pipe,91
157,F2897-14 Tracking and Traceability of PE Gas Pipe and Ftgs,91
158,F405-13 Corrug PE Pipe and Ftgs,91
159,F409-12 Replaceable Thermoplastic Pipe and Ftgs,91
160,F714-13 OD Controlled PE Pipe,91
161,F949-10 Corrug PVC Sewer Pipe,91
162,F2880-14 Lap Joint Flange Adapters for PE Pipe,91
163,F1282-10 PE-AL-PE Pressure Pipe,91
164,F441-13 Sch 40 and 80 CPVC Pipe,91
165,F2947-14 Annular Corr PE Sanitary Pipe,91
166,F442-13 CVPC Pipe,91
167,D3350-14 Standard Specification for Polyethylene Plastics Pipe and Fittings Materials,91
168,D2949-10 3.25 in PVC DWV Pipe,91
169,F2969-12 IPS Sized ABS Pipe,91
170,F2807-13 Multilayer PE-PA Pipe,91
171,F1901-10 PE Pipe for Roof Drain Systems,91
172,F2896-11 PE Composite Pipe for Oil and Gas,91
173,F2389-10 PP Pressure Pipe,91
