Standard ID,Standard Title
F913-02,Elastomeric Seals for Plastic Pipe
F2433-05,Determining Pipe Wall Stiffness
D2321-14,Underground Installation of Thermoplastic Gravity Pipe
F948-94,Testing under Internal Flow
F645-13,Design and Installation of Water Pressure Pipe
D2466-13,Sch 40 PVC Pipe and Fittings
D2774-12,Underground Installation of Thermoplastic Pressure Pipe
D2412-11,Parallel Plate Test
F2164-13,Hydro Field Leak Testing
F1668-08,Construction Procedures for Buried Plastic Pipe
D2683-14,Socket Fittings for PE Pipe
F2261-06,Sch 40 and 80 Socket Ftgs for PVC
F2207-06,CIP Rehab of Metallic Gas Pipe
D2729-11,PVC Sewer Pipe and Fittings
F3034-14,HDPE Billets
F2231-02,Charpy Impact Testing
F1483-12,PVCO Pipe
D2122-98,Dimensions
F1588-96,Constant Tensile Load Joint Test
F2785-12,PA 12 Gas Pipe
F1563-01,PE Gas Pipe Squeeze Off Tools
F2206-11,Fab Fittings
D2661-11,Sch 40 ABS Pipe
F2649-14,Corr PE Grease Tanks
F2510-07,Concrete Manhole Connections for Corrugated PE Pipe
D1603-2014,Standard Test Method for Carbon Black Content in Olefin Plastics
F2263-14,Chlorine Resistance Test for PE Pipe
F480-14,Sch 40 and 80 Well Casings
D6070-02,Test Methods for Cable in Conduit Systems
F2098-08,SS Clamps for DR 9 PEX
F1961-09,Metal Cold Flare Compression Ftgs for PEX
F1216-09,CIP Rehabilitation
F2023-13,ORP Testing of PEX
D3212-07,Elastomeric Joints
F2159-14,Plastic Insert Fittings for PEX and PERT
D2235-04,Solvent Cement for ABS
F1865-09,Cold Expansion Fittings for PEX
F412-13,Terminology
F1741-08,In-situ PVC Spiral Wound Rehab
D2290-12,Ring Tensile Test
F2619-13,PE Line Pipe
F2817-13,PVC Gas Pipe
F1962-11,Maxi HDD
F2805-11,Multilayer Thermoplastic and Steel
F2686-14,Glass Fiber Reinforced Thermoplastic Pipe
F810-12,Smoothwall PE Drainage Pipe
F512-12,Smooth wall PVC Conduit
F2855-12,CPVC-AL-CPVC Composite Pipe
D2665-14,PVC DWV Systems
F1429-99,Conduit Assembly Force
F758-14,Smooth Wall PVC Underdrain
F11056-04,Socket Fusion Tools for PE
F2160-10,HDPE Conduit
F2600-09,PA11 EF Ftgs
F2736-13,Corrug PP Pipe
F2138-12,EFV
F1732-12,PVC Sewer Pipe with Recycle
F1743-08,Rehab with Pulled in Place CIPP
F2787-13,Design of Stormwater Retention Chambers
D3122-95,Solvent Cement for SR Pipe
F2019-11,CIPP Rehab with GRP Thermoset
F1866-13,Sch 40 PVC DWV Fabricated Fittings
F1867-06,Fold and Form PVC
F1412-09,Polyolefin Pipe for Corrosive DWV
D883-12,Standard Terminology Relating To Plastics
D2749-13,Symbols for Plastic Pipe Dimensions
F2929-13,PEX For Radiant Heating
F2657-07,Outdoor Weathering of PEX
F714-13,OD Controlled PE Pipe
F439-13,Sch 80 CPVC Fittings
F2737-11,PE Water Quality Units
F1698-02,Installation of PVC Strip Liners
F1924-12,Plastic Mech Ftgs for PE Gas Pipe
F1041-02,Squeeze off of PE Gas Pipe
F1417-11,Low Pressure Air Test for Non-pressure Sewers
F1697-09,Rehab with Sprial Wound PVC Strip Liner
D2241-09,PVC Pressure Pipe
F2623-08,DR 9 PERT Tubing
D2657-07,Heat Fusion of PO
F2786-10,Pneumatic Field Leak Testing
F1804-08,Tensile Load for Pulled In Gas Pipe
F2135-01,Molded DWV Fittings
F1545-97,Lined Ferrous Ftgs
F1803-06,Closed Profile PVC Pipe
D2513-14,PE Gas Pipe and Ftgs
F2418-13,PP Stormwater Chambers
F1970-12,Special Valves and Ftgs for PVC and CPVC
F2763-11,Triple Wall PE Pipe
F1606-05,Sewer Rehab with Deformed PE Liner
F2658-07,DR 51 and 64 Type PSM PVC
F2562-08,Steel Reinforced Thermoplastic Pipe
F1025-94,Full Circle Band Clamps for PE Gas Pipe
F2136-08,NCLS Test
F1733-13,Heat Fusion of PA Pipe
F1498-08,Tapered Threads for Plastic Pipe
F905-04,Qualification of PE Saddle Joints
F2434-14,Metal Insert Ftgs for PEX and PEX-AL-PEX
F2767-12,EF Fittings for PA-12 Pipe and Tube
D2949-10,3.25 in PVC DWV Pipe
D3311-11,DWV Fitting Patterns
F2509-12,Field Assembled Anodeless Risers
F1973-13,Factory Assembled Anodeless Risers
F1674-11,Joinit Restraints for  PVC Pipe
F1290-98,EF Joining PO Pipe
F1488-09,Coextruded Composite Pipe
F725-03,Impact Test Requirements
F1947-10,Folded PVC Liners
F1802-04,Testing Excess Flow Valves
D2837-13,Obtaining an HDB or PDB for Plastic Pipe
F2829-10,Metric PEX Systems
F2018-00,Plane Strain Tensile Testing
F437-09,Sch 80 Threaded CPVC Ftgs
F610-10,Heat Reversion Testing for PVC Ftgs
F1533-01,Deformed PE Liner
F2561-11,Lateral Rehab with One Piece CIP Liner
F2720-09,Large Diameter Spiral Wound PEGF
F481-97,Installation in Septic Tank Leach Fields
D1785-12,"Shc 40, 80 and 120 PVC Pipe"
F2896-11,PE Composite Pipe for Oil and Gas
F405-13,Corrug PE Pipe and Ftgs
F628-12,Cellular Core Sch 40 ABS for DWV
F477-14,Elastomeric Seals
D2609-02,Plastic Insert Ftgs for PE Pipe
F2620-13,Heat Fusion of PE  Pipe and Ftgs
F1365-91,Infiltration Testing Elastomeric Joints
F2331-11,Chemical Compatibility
D2846-14,CPVC Distribution Systems
F1281-11,PEX-AL-PEX
F2994-13,Automated CIP Systems
F2806-10,Metric ABS Pipe
F2881-11,Dual Wall PP Pipe
F891-10,Cellular Core PVC
D1238-2013,Standard Test Method for Melt Flow Rates of Thermoplastics by Extrusion Plastometer
D1599-14,Quick Burst Test
F493-14,Solvent Cements for CPVC
F2905-13,Black PEX for Oil and Gas
F1760-01,Coex PVC with Recycle
D3261-12,Butt Heat Fusion Ftgs for PE
D2855-96,Making Solvent Cement Joints in PVC
F585-13,Slipliining with Pe Pipe
F2306-13,Annular Corrug PE Profile Pipe
F2831-12,Epoxy Barrier Lining Systems
F2947-14,Annular Corr PE Sanitary Pipe
F794-03,ID Controlled PVC Sewer Pipe
F2599-11,Repair with Inverted CIP Liner
F1055-13,EF Fittings for PE and PEX
F449-02,Installation of Agricultural Drain Pipe
D5203-07,Standard Specification for Polyethylene Plastics Molding and Extrusion Materials from Recycled Post-Consumer (HDPE) Sources
F438-09,Sch 40 CPVC Socket Ftgs
F2788-13,Metric and Inch PEX Pipe
F2922-13,PE Stormwater Chambers
F2719-09,Rehab by Installion of PE and Encapsulated Cement Mortar
F2987-12,Corrug PE Pipe for Mine Heap Leaching
F656-10,Primers for PVC Solvent Cement
F2145-13,PA11 and PA12 Mechanical Ftgs
F2928-13,Testing PE Butt Fusions
F1499-12,Composite DWV Pipe
F1974-09,Insert Ftgs for PE-AL-PE
F1675-13,LCA of Buried Culverts and Conduits
D3138-04,Solvent Cement for ABS-PVC
F1759-97,HDPE Manholes
F2830-11,PE Gas Pipe with Peelable PP Layer
F2986-12,Corrug PE Pipe for Mine Leach Fields
D2852-95,Styrene Rubber Pipe
F2021-11,Design of Siphonic Roof Drains
F2080-12,Cold Exp Ftgs for PEX
F1336-07,Gasketed PVC Fittings
F2634-10,High Speed Tensile Impact Test for PE Fusion
D2444-99,Falling Tup Test Method
D2152-13,Acetone Immerison Test for PVC
F409-12,Replaceable Thermoplastic Pipe and Ftgs
F2762-11,Annular Corrug PE Pipe for Sanitary Sewer
F1473-13,PENT Test
F679-13,LD PVC Sewer Pipe
F2818-10,PEX Gas Pipe
D3139-98,Elastomeric Joints
F2390-12,PVC-Recycle DWV Pipe and Fittings
F667-12,3-24 Inch Corrugated PE Pipe
F2897-14,Tracking and Traceability of PE Gas Pipe and Ftgs
F689-97,Temperatures in PE Gas Risers
F2854-10,Push Fit Ftgs for PEX
F2984-13,Rehab with Segmented Panels
F2262-09,DR 9 PEX-AL-PEX Tubing
F2618-09,CPVC Chem Waste Systems
F1673-10,PVDF DWV Systems
F1986-01,Compression Ftgs for Multilayer Pipe
F1987-01,Multilayer Hydronic Heating Systems
D1598-02,Hydrostatic Testing of Plastic Pipe
F2769-10,PERT Distribution Systems
D792-2013,Standard Test Methods for Density and Specific Gravity of Plastics by Displacement
F949-10,Corrug PVC Sewer Pipe
F2880-14,Lap Joint Flange Adapters for PE Pipe
F2768-09,ACME Thread Joints for Plastic Pipe
F1282-10,PE-AL-PE Pressure Pipe
F2487-13,Infiltration-Exfiltration Testing
F441-13,Sch 40 and 80 CPVC Pipe
F1871-11,Fold and Form PVC Type A
F1960-14,Cold Exp Ftgs for PEX
D3350-14,Standard Specification for Polyethylene Plastics Pipe and Fittings Materials
F2165-13,Flexible Preinsulated Piping
D638-2014,Standard Test Method for Tensile Properties of Plastics
F2969-12,IPS Sized ABS Pipe
D2464-13,Sch 80 PVC Threaded Ftgs
F2807-13,Multilayer PE-PA Pipe
F1901-10,PE Pipe for Roof Drain Systems
F402-05,Handling Solvent Cements
F1948-12,Metallic Fittings for Gas Pipe
F1735-09,PVC Strip Liners
D2564-12,Solvent Cement for PVC
D2680-01,ABS-PVC Composite Pipe
F2389-10,PP Pressure Pipe
F894-13,Large Diameter PE Profile Pipe
F1504-14,Folded PVC Pipe
F2176-02,Mech Couplings for Conduit
F2718-09,FIPLS Systems
F1734-03,Qualification of Sqeeze Off Tool
F2648-13,Annular Corrugated PE Pipe for Landfills
F1057-10,Heat Reversion Testing of PVC
F442-13,CVPC Pipe
F2946-12,PVC Tee Connections
